Altium Designer Pick and Place Locations
C:\Users\marco\Documents\projects\dextro\ALLPRINT-CAPBOARD\ALLPRINT-CAPBOARD-677512\Outputs\Pick Place\Pick Place for ALLPRINT-CAPBOARD-677512.csv

========================================================================================================================
File Design Information:

Date:       05/05/26
Time:       01:38
Revision:   2b8d874037b225093f43c7d75148be6f2c03b908
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C52","100nF/50V","TopLayer","CAP-0603","1895.669","3544.291","90","50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"R7","10R","TopLayer","RES-0603","3419.291","2437.992","270","100mW Thick Film Resistor 75V ±1% ±400ppm/? 10O 0603 Chip Resistor - Surface Mount ROHS"
"R4","1K","TopLayer","RES-0603","3768.701","2535.433","0","100mW Thick Film Resistor 75V ±100ppm/? ±1% 1kO 0603 Chip Resistor - Surface Mount ROHS"
"R3","1K","TopLayer","RES-0603","3768.701","2334.646","0","100mW Thick Film Resistor 75V ±100ppm/? ±1% 1kO 0603 Chip Resistor - Surface Mount ROHS"
"R2","10K","TopLayer","RES-0603","3876.968","2335.630","0","100mW Thick Film Resistor 75V ±100ppm/? ±1% 10kO 0603 Chip Resistor - Surface Mount ROHS"
"R1","10K","TopLayer","RES-0603","3878.937","2535.433","0","100mW Thick Film Resistor 75V ±100ppm/? ±1% 10kO 0603 Chip Resistor - Surface Mount ROHS"
"D1","SM712.TCT-ES","TopLayer","SOT23-3","2569.882","2982.283","180","400W@8/20us Bidirectional SOT-23 ESD and Surge Protection (TVS/ESD) ROHS"
"C12","100nF/50V","TopLayer","CAP-0603","2859.252","3291.339","180","50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C5","100nF/50V","TopLayer","CAP-0603","2897.638","2086.614","0","50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C4","100nF/50V","TopLayer","CAP-0603","3298.228","2477.362","270","50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C3","100nF/50V","TopLayer","CAP-0603","2927.165","2585.630","180","50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C2","100nF/50V","TopLayer","CAP-0603","2799.213","2229.331","270","50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C1","10uF/50V","TopLayer","CAP-0805","2800.197","2103.346","90","50V 10uF X5R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"U3","SN74HC04PWR","TopLayer","TSSOP-14","3849.409","2090.551","90","2V~6V 16ns@6V,50pF 2uA 6 1 TSSOP-14 Gates and Inverters RoHS"
"U8","MAX485ESA","TopLayer","SOIC-08","2304.134","2215.551","270","Low-Power, Slew-Rate-Limited RS-485/RS-422 Transceivers"
"R33","120R","TopLayer","RES-1206","1366.142","749.016","0","120O ±1% 500mW 1206 Thick Film Resistor"
"R32","100R","TopLayer","RES-0603","2411.417","2402.559","180","100mW Thick Film Resistor 75V ±100ppm/? ±1% 100O 0603 Chip Resistor - Surface Mount ROHS"
"PTC5","BSMD0603-001-60V","TopLayer","PTC-0603","1325.787","646.654","90","60V 10mA 20A 50mA 15O 0603 PTC Resettable Fuses ROHS"
"PTC4","BSMD0603-001-60V","TopLayer","PTC-0603","1403.543","645.669","270","60V 10mA 20A 50mA 15O 0603 PTC Resettable Fuses ROHS"
"J2","DSHP04TS-S","TopLayer","SW-SMD_8P-L6.7-W5.4-P1.27-LS8.5","3950.787","1298.228","0","4 24V 25mA SPST 3,000 Cycles Black Slide, Recessed SMD-8P,6.7x5.4mm DIP Switches/SIP Switches ROHS"
"D8","SM712.TCT-ES","TopLayer","SOT23-3","1366.142","860.236","180","400W@8/20us Bidirectional SOT-23 ESD and Surge Protection (TVS/ESD) ROHS"
"C29","100nF/50V","TopLayer","CAP-0603","2444.882","2140.748","270","50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"R6","1K","TopLayer","RES-0603","3768.701","2396.654","180","100mW Thick Film Resistor 75V ±100ppm/? ±1% 1kO 0603 Chip Resistor - Surface Mount ROHS"
"L2","YLED0603R","TopLayer","LED-SMD-0603","3878.937","2396.654","180","25mA 120mcd 620nm~625nm Red 1.8V~2.4V 0603 LED Indication - Discrete RoHS"
"R92","100R","TopLayer","RES-0603","2023.622","3764.764","180","100mW Thick Film Resistor 75V ±100ppm/? ±1% 100O 0603 Chip Resistor - Surface Mount ROHS"
"R90","1K","TopLayer","RES-0603","1543.307","3770.669","0","100mW Thick Film Resistor 75V ±100ppm/? ±1% 1kO 0603 Chip Resistor - Surface Mount ROHS"
"R93","10R","TopLayer","RES-0603","1335.630","3825.787","0","100mW Thick Film Resistor 75V ±1% ±400ppm/? 10O 0603 Chip Resistor - Surface Mount ROHS"
"FD3","FIDUCIAL","TopLayer","FIDUCIAL","4055.118","3503.937","90",""
"FD2","FIDUCIAL","TopLayer","FIDUCIAL","78.740","433.071","90",""
"FD1","FIDUCIAL","TopLayer","FIDUCIAL","4075.787","407.480","90",""
"J7","MCFPL-06","TopLayer","MCFPL-06","669.291","413.386","0","CONECTOR-METALTEX-PASSO-3mm-90 GRAUS MONTAGEM PLACA-COMPATIVEL MICROFIT-6VIAS
5A-250VCA"
"U13","SN74HC04PWR","TopLayer","TSSOP-14","2038.386","3459.646","90","2V~6V 16ns@6V,50pF 2uA 6 1 TSSOP-14 Gates and Inverters RoHS"
